input,output,input_ids,labels
"L&T, Adani Ports, Adani Enterprises & IRB Infrastructure top bets post Budget: [TGT]",neutral,301 184 382 6 1980 2738 3625 7 6 1980 2738 8526 7 3 184 27 12108 24076 420 36 17 7 442 12532 10 32100 1,7163 1
[TGT] plunges nearly 9% post Q1 results,negative,32100 20593 7 2111 3 7561 442 1593 536 772 1,2841 1
[TGT] extends rights issue till April 30,neutral,32100 4285 7 2166 962 6501 1186 604 1,7163 1
"Deal with [TGT] will benefit Lovable: Phani Shekhar, Angel Broking",neutral,10527 28 32100 56 1656 1815 208 179 10 3657 2738 451 157 3272 6 5126 4027 1765 1,7163 1
10-year bonds hit over 13-month high; fall in [TGT] helps,negative,9445 1201 13237 1560 147 1179 18 7393 306 117 1590 16 32100 1691 1,2841 1
"F&O Tracker: Foxed by [TGT] slide, traders unwind longs",negative,377 184 667 8799 49 10 7547 15 26 57 32100 9116 6 14641 73 5165 307 7 1,2841 1
[TGT] Q2 net up 12.5% to Rs 75 cr,positive,32100 1593 357 3134 95 8013 2712 12 11715 6374 5764 1,1465 1
Investors sell old [TGT] to put money in new,neutral,16873 7 1789 625 32100 12 474 540 16 126 1,7163 1
"IPO of four companies to hit [TGT] this month; estimated Rs 1,800 crores to be raised",neutral,3 25470 13 662 688 12 1560 32100 48 847 117 5861 11715 1914 6192 23095 7 12 36 3279 1,7163 1
[TGT] is a very good stock: Networth Stock Broking,positive,32100 19 3 9 182 207 1519 10 6540 7048 6394 4027 1765 1,1465 1
"[TGT], other steel remain flat in thin trade",neutral,32100 3 6 119 2470 2367 2667 16 5551 1668 1,7163 1
[TGT] Q3 net loss widens to Rs 760 crore,negative,32100 1593 519 3134 1453 1148 29 7 12 11715 3 28212 23095 1,2841 1
Revision in contract between RasGas and Petronet to benefit tile makers like Kajaria and [TGT],positive,419 6610 16 1696 344 9053 517 9 7 11 17786 1582 12 1656 6428 13730 114 2209 354 6286 11 32100 1,1465 1
"Sinking [TGT]: How exposed are you, how did the bubble begin",negative,26560 53 32100 3 10 571 6666 33 25 6 149 410 8 11144 1731 1,2841 1
"[TGT], Sun Pharma hit 52-week highs as investors flock to defensives",positive,32100 3 6 3068 17823 1560 9065 18 8041 306 7 38 4367 23228 12 11976 7 1,1465 1
[TGT]'s profit after tax jumps 8.87% to Rs 343.24 cr in Q1,positive,32100 3 31 7 3199 227 1104 4418 7 4848 927 6170 12 11715 6154 5787 2266 5764 16 1593 536 1,1465 1
Margin pressure likely to continue for [TGT],negative,16409 77 1666 952 12 916 21 32100 1,2841 1
Birla Corp looks attractive as [TGT] deal expected to boost presence,neutral,10158 521 10052 1416 5250 38 32100 1154 1644 12 4888 3053 1,7163 1
"Post Q4 earnings, [TGT] appear safer bets in volatile market",positive,1844 1593 591 8783 6 32100 2385 14289 36 17 7 16 25359 512 1,1465 1
"[TGT]: Healthy order book, smart execution to help beat slump blues",neutral,32100 3 10 19188 455 484 6 2592 9328 12 199 3853 31649 1692 7 1,7163 1
[TGT] tanks as Sebi approves government's stake hike to 55.57%,negative,32100 16007 38 679 115 23 15444 7 789 31 7 8474 8598 12 305 15938 6170 1,2841 1
[TGT] implements 3G services for RCom; stock up,positive,32100 4028 7 220 517 364 21 391 5890 117 1519 95 1,1465 1
IRFC raises $500 million via [TGT],neutral,3 5705 5390 3033 7 17005 770 1009 32100 1,7163 1
Bearish on [TGT] and ONGC: Mitesh Thacker,negative,9034 1273 30 32100 11 3 15628 254 10 1311 15 7 107 16118 3383 1,2841 1
[TGT] continues to face exodus of top executives,neutral,32100 3256 12 522 1215 32 8655 13 420 13510 1,7163 1
"Bulls run for cover: [TGT] plunges over 860 points on oil, Greece concerns",negative,10204 7 661 21 1189 10 32100 20593 7 147 505 3328 979 30 1043 6 12263 3315 1,2841 1
Kenneth Andrade exits [TGT] leaving investors jittery,negative,16267 189 275 15530 7189 7 32100 3140 4367 3 13272 449 63 1,2841 1
"Daimler, Akzo Nobel prop up [TGT]",positive,878 603 1171 6 4823 172 32 22232 6377 95 32100 1,1465 1
"Interim Budget 2014: [TGT] subsidy payments postponed to next fiscal, investors should keep a watch on lowering of subsidies",neutral,3037 603 12532 1412 10 32100 28942 63 4364 442 5041 15 26 12 416 5043 6 4367 225 453 3 9 1605 30 3 23358 13 26994 1,7163 1
[TGT] surge up to 15 per cent as government plans infra push,positive,32100 18787 95 12 627 399 3151 38 789 1390 16 89 52 9 3292 1,1465 1
Brokerages up target price for [TGT] post Comviva buy,positive,20696 2568 95 2387 594 21 32100 442 2570 7003 9 805 1,1465 1
"[TGT], sterling buoyant before central bank meetings",positive,32100 3 6 24248 28936 288 274 2069 2137 4677 1,1465 1
Wipro rallies on winning 10-year outsourcing engagement with [TGT],neutral,2142 1409 26930 7 30 3447 9445 1201 25367 3813 28 32100 1,7163 1
"FIIs, sovereign funds to keep India mkt full of liquidity: [TGT]",neutral,3 4936 196 7 6 26800 2731 12 453 1547 3 51 157 17 423 13 27605 10 32100 1,7163 1
Samvat 2071: Top nine stocks for Diwali 2014 by [TGT],neutral,3084 900 17 460 4450 10 2224 4169 10145 21 2043 5380 23 1412 57 32100 1,7163 1
Rupee near 10-month high on WPI; [TGT] seen stepping in,neutral,2770 855 15 1084 9445 7393 306 30 549 4111 117 32100 894 3 19115 16 1,7163 1
"Indian funds, HNIs eye slice of [TGT] mega IPO",neutral,2557 2731 6 454 6197 7 1580 13810 13 32100 13950 3 25470 1,7163 1
Fitch Ratings assigns BB+ to [TGT] $1.5 billion notes,neutral,377 7059 21662 7 12317 7 3 7640 1220 12 32100 1514 16593 2108 3358 1,7163 1
"German stocks power to new high; [TGT], US Federal Reserve in focus",neutral,2968 10145 579 12 126 306 117 32100 3 6 837 5034 9473 16 992 1,7163 1
US stocks: [TGT] ends first day of 2015 flat,neutral,837 10145 10 32100 5542 166 239 13 1230 2667 1,7163 1
[TGT] likely to pick 5 per cent stake in BHEL,neutral,32100 952 12 1432 305 399 3151 8474 16 3 23631 3577 1,7163 1
"Nifty, [TGT] end at all-time closing high on strong inflows",positive,445 21822 6 32100 414 44 66 18 715 6733 306 30 1101 16 7631 7 1,1465 1
"[TGT] prices 30-year, $974 million bond in Taiwan: Sources",neutral,32100 1596 12471 1201 6 16616 4581 770 6235 16 14441 10 9149 7 1,7163 1
Gulf mixed; [TGT] falls as money flows into Amlak,negative,13566 4838 117 32100 7250 38 540 14428 139 736 40 1639 1,2841 1
"[TGT] finds a $4 bn mistake; suspends buyback, dividend hike plans",negative,32100 12902 3 9 7514 3 115 29 6202 117 12547 7 805 1549 6 12190 8598 1390 1,2841 1
[TGT] stocks jump up to 20% on apparel business merger,positive,32100 10145 4418 95 12 7580 30 21067 268 18917 1,1465 1
[TGT] appoints Naresh Rattan as COO of tractor biz,neutral,32100 3 9 102 2700 7 1823 60 7 107 6455 17 152 38 2847 667 13 21242 3 19000 1,7163 1
"Real Estate Bill just a temporary sentiment booster, says Mehraboon Irani on [TGT]",negative,2977 6925 3259 131 3 9 7234 6493 22205 6 845 11093 9008 106 7449 23 30 32100 1,2841 1
[TGT] names Hetal Dalal as COO,neutral,32100 3056 216 1947 10729 138 38 2847 667 1,7163 1
[TGT] doing well: Ashwani Gujral,positive,32100 692 168 10 7153 3877 23 2846 354 4900 1,1465 1
"BPCL and IOC look good: Ashish Maheshwari, [TGT]",neutral,3 11165 8440 11 27 5618 320 207 10 7153 1273 8555 15 7 107 2910 23 6 32100 1,7163 1
[TGT] comes back to bite,negative,32100 639 223 12 9133 1,2841 1
MCX-SX is well ring-fenced from [TGT] crisis: Sebi,neutral,3 3698 4 18 134 4 19 168 3 1007 18 31037 45 32100 5362 10 679 115 23 1,7163 1
[TGT] revises equity transaction charges,neutral,32100 5109 23 2260 8408 5878 3991 1,7163 1
"BSE, [TGT] to suspend share trading of non-compliant companies",neutral,272 4132 6 32100 12 12547 698 3415 13 529 18 7699 9333 688 1,7163 1
There is jitteriness in the [TGT]: Ashwani Gujral,negative,290 19 3 13272 449 6096 16 8 32100 3 10 7153 3877 23 2846 354 4900 1,2841 1
[TGT]'s stock dips over 4% as concerns mount about iPhone shipments,negative,32100 3 31 7 1519 10823 7 147 3 5988 38 3315 9549 81 3146 3 30645 1,2841 1
"[TGT] slump; US FDA scrutiny, weak earnings weigh",negative,32100 31649 117 837 13648 25778 6 5676 8783 11385 1,2841 1
Russia's largest lender sees [TGT] falling further in 2016,negative,4623 31 7 2015 15398 217 7 32100 7306 856 16 1421 1,2841 1
BSE and [TGT] announce trading holiday on April 24,neutral,272 4132 11 32100 6456 3415 2297 30 1186 997 1,7163 1
"Buying OMC stocks may not be a prudent move at the moment: Dipan Mehta, Member, [TGT] & NSE",neutral,3 22522 411 3698 10145 164 59 36 3 9 26514 888 44 8 798 10 23177 152 1212 107 17 9 6 8541 6 32100 3 184 445 4132 1,7163 1
Catamarans investment in [TGT] was to help poor,neutral,3431 9 1635 3247 1729 16 32100 47 12 199 2714 1,7163 1
Top [TGT] stakeholder urges FM Arun Jaitley to review exchange norms,neutral,2224 32100 8474 5235 11872 7 13409 71 4312 2215 155 1306 12 1132 2509 7982 7 1,7163 1
[TGT] caps daily share price declines at 10 per cent,negative,32100 16753 1444 698 594 7198 7 44 335 399 3151 1,2841 1
[TGT] Q2 Net down 27 per cent at Rs 11.43 crore,negative,32100 1593 357 6540 323 2307 399 3151 44 11715 7806 4906 23095 1,2841 1
"Prefer ICICI, SBI, [TGT] from long-term perspective: Dipan Mehta",positive,1266 1010 3 18316 3597 6 180 5972 6 32100 45 307 18 1987 3503 10 23177 152 1212 107 17 9 1,1465 1
[TGT] seeks shareholders nod to raise up to Rs 650 crore,neutral,32100 2762 7 17780 150 26 12 3033 95 12 11715 3 15348 23095 1,7163 1
August [TGT] declines after rising to four-month high on lack of duty cut,negative,1660 32100 7198 7 227 6937 12 662 18 7393 306 30 2136 13 5461 1340 1,2841 1
NMCE asks members dealing with [TGT] defaulters to be alert,negative,3 16568 4770 987 7 724 4945 28 32100 4647 277 12 36 5685 1,2841 1
Prefer Idea Cellular over [TGT] in Telecom space: Ajay Bodke,neutral,1266 1010 22834 7845 4885 147 32100 16 7338 287 628 10 71 1191 63 1491 26 1050 1,7163 1
"Two-wheelers, private banks, [TGT] story to play out well: Ajay Bagga",positive,2759 18 14074 277 6 1045 5028 6 32100 733 12 577 91 168 10 71 1191 63 8055 122 9 1,1465 1
Sell [TGT] with a target of Rs 1340: Mitesh Thacker,negative,16922 32100 28 3 9 2387 13 11715 1179 2445 10 1311 15 7 107 16118 3383 1,2841 1
"[TGT], silver extend losses in global markets",negative,32100 3 6 4294 4285 8467 16 1252 3212 1,2841 1
Jain Irrigation ends in red; [TGT] upgrades stock to 'equal-weight',neutral,2215 77 27 52 3380 257 5542 16 1131 117 32100 15694 1519 12 3 31 15 11433 18 9378 31 1,7163 1
Turnaround in [TGT] may take a few more quarters,neutral,5527 15590 16 32100 164 240 3 9 360 72 2893 7 1,7163 1
[TGT] hits upper circuit on Videocon stake buy buzz,positive,32100 8046 4548 4558 30 3953 1018 8474 805 15886 1,1465 1
[TGT] upgrades Tata Steel outlook to stable after two years,neutral,32100 15694 9233 9 6349 16395 12 5711 227 192 203 1,7163 1
"CBI must apologise if enquiry fails, says former [TGT] chairman CB Bhave",neutral,205 5972 398 3 9 102 11697 7 15 3 99 25561 13288 6 845 1798 32100 13404 205 279 272 7965 1,7163 1
[TGT] seeks fresh clarification on UFO Moviez Rs 750-crore IPO,neutral,32100 2762 7 1434 28733 30 412 9868 10743 172 11715 3 9979 18 2771 60 3 25470 1,7163 1
Flight to safety keeps [TGT] near one-month high,positive,16736 12 1455 5689 32100 1084 80 18 7393 306 1,1465 1
"[TGT], BPCL, IOC, ONGC, OIL can rally up to 22% in next 12 months: Brokerages",positive,32100 3 6 3 11165 8440 6 27 5618 6 3 15628 254 6 411 3502 54 13980 95 12 204 5406 16 416 586 767 10 20696 2568 1,1465 1
See [TGT] heading towards 5180-5150 levels: Ashwani Gujral,neutral,1610 32100 6904 1587 305 20829 4525 12278 1425 10 7153 3877 23 2846 354 4900 1,7163 1
"Recommend Bosch, WABCO and [TGT]: Deven Choksey",positive,419 287 904 26 22698 6 7896 279 5911 11 32100 3 10 374 1926 6285 157 7 15 63 1,1465 1
[TGT] looks promising: Prakash Diwan,positive,32100 1416 12894 10 6110 157 3198 2043 3877 1,1465 1
[TGT] ties up with UNICEF; stock gains,positive,32100 3 3010 95 28 4417 8906 371 117 1519 11391 1,1465 1
[TGT] rides out Iraq conflict for now,neutral,32100 14432 91 7457 4129 21 230 1,7163 1
Citigroup downgrades [TGT] to 'neutral' from 'buy' citing valuations,negative,17795 10739 323 6801 7 32100 12 3 31 8992 8792 31 45 3 31 14584 31 3 17994 18662 7 1,2841 1
Cautious on [TGT]: Avinash Gorakshekar,negative,16371 17 2936 30 32100 3 10 71 2494 3198 1263 9782 7 88 4031 1,2841 1
"[TGT] sees deeper selloff if Nifty breaks below 7,752; 4 stocks that are likely to outperform",neutral,32100 217 7 7231 1789 1647 3 99 445 21822 9797 666 7973 3072 357 117 314 10145 24 33 952 12 91 883 2032 1,7163 1
"Lupin, Power Grid, [TGT] to be deleted from MSCI India Index",negative,23776 77 6 2621 23644 6 32100 12 36 16355 45 5266 3597 1547 11507 1,2841 1
[TGT] partners with Chinese banks to promote London renminbi trading,neutral,32100 3222 28 2830 5028 12 2519 1524 3 1536 1109 115 23 3415 1,7163 1
[TGT] announces 1:1 maiden bonus,neutral,32100 6456 7 19520 187 537 4023 1,7163 1
[TGT] turnover jumps by 53 pc in 1st fortnight of April,positive,32100 17847 4418 7 57 12210 3 102 75 16 209 7 17 21 17 7602 13 1186 1,1465 1
"Brokerage views on RIL, ITC, Coal India, [TGT], HUL, M&M",neutral,20696 545 2441 30 391 3502 6 27 3838 6 638 138 1547 6 32100 3 6 454 4254 6 283 184 329 1,7163 1
[TGT] Q1 results: 5 things to watch out for,neutral,32100 1593 536 772 10 305 378 12 1605 91 21 1,7163 1
"[TGT], Aurobindo should be part of core portfolio: Ajay Bodke",positive,32100 3 6 71 450 32 8610 32 225 36 294 13 2583 4833 10 71 1191 63 1491 26 1050 1,1465 1
[TGT] plunges 8.25% on massive share sale plan,negative,32100 20593 7 4848 357 2712 30 3805 698 1048 515 1,2841 1
Further 5 per cent fall on Dalal Street good to enter: [TGT],neutral,9006 305 399 3151 1590 30 10729 138 1887 207 12 2058 10 32100 1,7163 1
[TGT] to auction limits in bonds for foreign investors,neutral,32100 12 8493 6790 16 13237 21 2959 4367 1,7163 1
[TGT] rallies on upbeat Q2 numbers,positive,32100 26930 7 30 95 12745 1593 357 2302 1,1465 1
Nomura retains buy on [TGT],positive,465 11054 9 7365 7 805 30 32100 1,1465 1
Interest in [TGT] limited; bias towards high beta stocks: Gautam Trivedi,neutral,21230 16 32100 1643 117 14387 1587 306 12637 10145 10 12520 17 265 2702 162 26 23 1,7163 1
[TGT] surges by 10.79% on bourses on rights issue plans,positive,32100 18787 7 57 5477 4440 1454 30 3 21579 15 7 30 2166 962 1390 1,1465 1
"[TGT], Prakash Industries & Bhushan Steel crack upto 20% in bribery case",negative,32100 3 6 6110 157 3198 18080 3 184 272 11823 2618 6349 5261 95 235 7580 16 3 2160 1152 63 495 1,2841 1
Billionaire's stake shakes [TGT]'s buyout of David Jones,neutral,272 14916 2378 31 7 8474 8944 7 32100 3 31 7 805 670 13 1955 6193 1,7163 1
[TGT] expels Parsoli Corp as trading member,neutral,32100 8116 3573 2180 7 4172 10052 38 3415 1144 1,7163 1
"Auto, [TGT] top wealth creators in 4 years",positive,2040 6 32100 420 5987 9931 7 16 314 203 1,1465 1
Improving [TGT] add to bullish sentiment,positive,1318 18949 32100 617 12 8434 1273 6493 1,1465 1
"HDIL, LITL a BTST call: Sandeep Wagle, [TGT]",neutral,3726 3502 6 8729 12733 3 9 3 9021 4209 580 10 1051 25221 3129 3537 6 32100 1,7163 1
[TGT] climbs by Rs 500 per quintal on tight supply,positive,32100 8147 7 57 11715 2899 399 285 29 1947 30 4095 1899 1,1465 1
Forwards Market Commission seeks public comments on [TGT] making in commodity segment,neutral,25633 7 3611 3527 2762 7 452 2622 30 32100 492 16 23070 5508 1,7163 1
[TGT] Q2 net up 54% at over Rs 38 crore,positive,32100 1593 357 3134 95 305 5988 44 147 11715 6654 23095 1,1465 1
[TGT] Q3 net up 38.67% at Rs 75.83 crore,positive,32100 1593 519 3134 95 6654 5 3708 1454 44 11715 6374 5 4591 23095 1,1465 1
"[TGT] to gain from capacity expansion, retail push",positive,32100 12 2485 45 2614 5919 6 3549 3292 1,1465 1
"Airline stocks in for turbulent times, new entrants AirAsia, [TGT] to raise competition",neutral,1761 747 10145 16 21 31941 648 6 126 3 295 3569 7 1761 188 7 23 9 6 32100 12 3033 2259 1,7163 1
[TGT] production falls by 1.3 pc to 966.4 million kgs in 2010,negative,32100 999 7250 57 3 13606 3 102 75 12 3 4314 27869 770 9147 7 16 2735 1,2841 1
China Yuan edges lower on [TGT] demand for dividend payments,positive,1473 6214 152 9804 1364 30 32100 2173 21 12190 4364 1,1465 1
[TGT] rallies over 8% on assets sale plan to pare debt,positive,32100 26930 7 147 3 5953 30 4089 1048 515 12 5448 2814 1,1465 1
Why investors should say no to [TGT] and Maruti Suzuki,negative,1615 4367 225 497 150 12 32100 11 1534 6830 23 26855 1,2841 1
"CBI raids NSEL offices; Financial Tech, [TGT] tank: Is the rally in these two stocks over?",negative,205 5972 15941 7 445 23143 6036 117 5421 7130 6 32100 5040 10 27 7 8 13980 16 175 192 10145 147 58 1,2841 1
"[TGT], power & transportation will form market bulwark in coming years: Ajay Bodke",positive,32100 3 6 579 3 184 5127 56 607 512 3 6724 2910 157 16 1107 203 10 71 1191 63 1491 26 1050 1,1465 1
"[TGT] plans to sell Infratel shares; to raise over Rs 2,500 crore",neutral,32100 1390 12 1789 86 89 2206 40 4776 117 12 3033 147 11715 3 22092 23095 1,7163 1
Brokers call: Citi stays neutral on [TGT],neutral,20696 7 580 10 17795 13628 7163 30 32100 1,7163 1
"[TGT], Ashok Leyland top picks in auto space: Mayuresh Joshi",positive,32100 3 6 7153 1825 312 28900 420 1432 7 16 1510 628 10 932 7665 107 14136 23 1,1465 1
[TGT] pain has an upside for India,neutral,32100 1406 65 46 19118 21 1547 1,7163 1
[TGT] Q2 results: Ten key takeaways,neutral,32100 1593 357 772 10 4738 843 240 9 6415 1,7163 1
[TGT] succumbs to profit-booking; softens 0.18 per cent,negative,32100 22247 5937 7 12 3199 18 2567 53 117 1835 35 7 4097 2606 399 3151 1,2841 1
[TGT] trims Nifty earnings estimates,neutral,32100 6228 7 445 21822 8783 10014 1,7163 1
[TGT] net up 31 pc,positive,32100 3134 95 2664 3 102 75 1,1465 1
[TGT] stock dips over 8 pc on BSE,negative,32100 1519 10823 7 147 505 3 102 75 30 272 4132 1,2841 1
"ONGC, Oil India top pick in oil & gas space; can rally up to 46% in one year: [TGT]",neutral,3 15628 254 6 6067 1547 420 1432 16 1043 3 184 1807 628 117 54 13980 95 12 314 6370 16 80 215 10 32100 1,7163 1
"Bourses to shift Kingfisher Airlines, [TGT] to 'T' group",negative,12933 2260 12 4108 2671 6779 49 15738 6 32100 12 3 31 382 31 563 1,2841 1
[TGT] slips over 200 points; Infosys Q2 beat estimates,negative,32100 7560 7 147 2382 979 117 7880 7 63 7 1593 357 3853 10014 1,2841 1
"[TGT] set for a strong start, tracking Wall Street",positive,32100 356 21 3 9 1101 456 6 6418 3556 1887 1,1465 1
"Asian shares sag, [TGT] steadies",neutral,6578 4776 3 7 9 122 6 32100 19983 15 7 1,7163 1
"Stability may return to markets, 150 points run up possible: Deven Choksey, [TGT]",neutral,472 2020 164 1205 12 3212 6 4261 979 661 95 487 10 374 1926 6285 157 7 15 63 6 32100 1,7163 1
Traders make a killing by selling [TGT] options,neutral,3 21923 7 143 3 9 9357 57 3014 32100 931 1,7163 1
[TGT] declines on subdued local buying,negative,32100 7198 7 30 769 1259 15 26 415 2611 1,2841 1
[TGT] plans JV with foreign suitor to push growth,positive,32100 1390 446 553 28 2959 3237 127 12 3292 1170 1,1465 1
"IOB drops on [TGT] action; steps not to impact earnings, says bank",neutral,27 10539 11784 30 32100 1041 117 2245 59 12 1113 8783 6 845 2137 1,7163 1
[TGT]s net profits rises to Rs 25.23 crore,positive,32100 3 7 3134 9613 3098 7 12 11715 944 5 2773 23095 1,1465 1
Britain FTSE regains traction as [TGT] steadies,neutral,7190 3 6245 4132 3 20787 7 3 10559 38 32100 19983 15 7 1,7163 1
"[TGT] plunges over 8% as Q3 profit lags estimates, brokers slash target prices",negative,32100 20593 7 147 3 5953 38 1593 519 3199 3 5430 7 10014 6 18593 3 7 8058 2387 1596 1,2841 1
"[TGT] plans to raise Rs 1,000 crore as e-commerce marketplace rolls out",neutral,32100 1390 12 3033 11715 11668 23095 38 3 15 18 7949 9895 15246 91 1,7163 1
CLSA maintains 'Buy' on [TGT],positive,11175 4507 1961 7 3 31 7793 63 31 30 32100 1,1465 1
"L&T, [TGT] and LIC Housing Finance top bets before election: Gaurav Mehta",positive,301 184 382 6 32100 11 3 19624 14716 7679 420 36 17 7 274 4356 10 12520 11852 1212 107 17 9 1,1465 1
"RelCap, MCX, Spice in race for stake in [TGT]",neutral,419 40 19566 6 3 3698 4 6 25727 16 1964 21 8474 16 32100 1,7163 1
[TGT] Q2 Net up 1 per cent to Rs 113 crore,positive,32100 1593 357 6540 95 209 399 3151 12 11715 3 20522 23095 1,1465 1
"PSU banking space shines; OBC, [TGT] end 10% higher",positive,276 4138 8175 628 9567 7 117 411 7645 6 32100 414 6389 1146 1,1465 1
"Brand value in [TGT] still intact: mbareesh Baliga, Way2Wealth Brokers",positive,4688 701 16 32100 341 17722 10 3 51 5304 15 7 107 2659 17140 6 5994 357 1326 138 189 20696 7 1,1465 1
Anand Selva appointed as consumer banking head of [TGT],neutral,389 232 11471 900 7817 38 3733 8175 819 13 32100 1,7163 1
Consider aggressive buying on the [TGT]: Mitesh Thacker,positive,9151 8299 2611 30 8 32100 3 10 1311 15 7 107 16118 3383 1,1465 1
Commercial papers fast replacing [TGT],neutral,9747 5778 1006 11906 32100 1,7163 1
Target of 165 on [TGT]: Ashuu Kakkarr,neutral,12615 13 3 22823 30 32100 3 10 7153 76 76 2209 157 4031 52 1,7163 1
[TGT] arm Snowman Logistics plans Rs 200 crore IPO,neutral,32100 2939 9394 348 28107 1390 11715 2382 23095 3 25470 1,7163 1
"Rolls-Royce, Airbus help [TGT] higher",positive,6070 7 18 30840 6 1761 3465 199 32100 1146 1,1465 1
[TGT] buys Mahindra Holidays shares for Rs 20.3 crore,neutral,32100 805 7 8555 77 3515 9108 7 4776 21 11715 204 19997 23095 1,7163 1
[TGT] bets on 'shut period' to improve liquidity,neutral,32100 36 17 7 30 3 31 7 13985 1059 31 12 1172 27605 1,7163 1
Russian rouble hits new all-time low vs [TGT],neutral,4263 3 3964 2296 8046 126 66 18 715 731 3 208 7 32100 1,7163 1
"Private banks, power, oil & gas, auto, [TGT] to outperform in 2015: Emkay",positive,7086 5028 6 579 6 1043 3 184 1807 6 1510 6 32100 12 91 883 2032 16 1230 10 3967 18075 1,1465 1
"ETFs invest Rs 1,235 crore in a week in [TGT]; EM index posts biggest weekly gain in 17 years",positive,262 9164 7 4032 11715 1914 25174 23095 16 3 9 471 16 32100 3 117 3 6037 5538 3489 2630 5547 2485 16 1003 203 1,1465 1
[TGT] prices rise on fresh buying,positive,32100 1596 3098 30 1434 2611 1,1465 1
"[TGT] drops over 200 points; Nifty slips below 7,700",negative,32100 11784 147 2382 979 117 445 21822 7560 7 666 7973 9295 1,2841 1
"Views & recos: Sesa Goa, [TGT], Elecon Engineering",neutral,4197 7 3 184 5026 32 7 10 679 7 9 1263 9 6 32100 3 6 8021 1018 5623 1,7163 1
"Arcil to pick stake in [TGT], come on board",neutral,1533 75 173 12 1432 8474 16 32100 3 6 369 30 1476 1,7163 1
Lower fuel subsidy lifts [TGT] Q3 profit 23 pc,positive,15877 2914 28942 63 5656 7 32100 1593 519 3199 1902 3 102 75 1,1465 1
"[TGT], Mastek, SKS Micro in T2T group; stocks down",negative,32100 3 6 6664 15150 6 180 13383 5893 16 332 357 382 563 117 10145 323 1,2841 1
"[TGT], Sensex future contracts up in May on Dubai exchange",positive,32100 3 6 3 19003 226 647 8201 95 16 932 30 9959 2509 1,1465 1
[TGT]'s Dalmia ruling may trigger more buyback offers,neutral,32100 3 31 7 10729 51 23 9 12346 164 7294 72 805 1549 704 1,7163 1
"Market looks to Q3 numbers of TCS, [TGT]",neutral,3611 1416 12 1593 519 2302 13 332 4778 6 32100 1,7163 1
Several [TGT] tie up with domestic companies,neutral,3 8656 32100 6177 95 28 4422 688 1,7163 1
"[TGT] remain choppy, get used to smaller profits: Ashwani Gujral",negative,32100 2367 3 3995 9632 6 129 261 12 2755 9613 10 7153 3877 23 2846 354 4900 1,2841 1
"[TGT], NSE to suspend share trading of non-compliant companies",neutral,32100 3 6 445 4132 12 12547 698 3415 13 529 18 7699 9333 688 1,7163 1
"[TGT] a long-term story, says Prakash Diwan",neutral,32100 3 9 307 18 1987 733 6 845 6110 157 3198 2043 3877 1,7163 1
[TGT]'s IPO to value web-hosting company at up to $2.87 billion,neutral,32100 3 31 7 3 25470 12 701 765 18 12675 53 349 44 95 12 3771 5 4225 2108 1,7163 1
"[TGT]i, Tata Comm, mobile content players likely to see sharp run-up : Harendra Kumar",positive,32100 3 23 6 9233 9 3 10205 6 1156 738 1508 952 12 217 4816 661 18 413 3 10 3504 12524 23400 1,1465 1
$40 oil could be a game-changer for [TGT],positive,23853 1043 228 36 3 9 467 18 13073 52 21 32100 1,1465 1
"It makes good sense for Sesa Sterlite to pick [TGT] stake, say analysts",positive,94 656 207 1254 21 679 7 9 472 49 6311 12 1432 32100 8474 6 497 15639 1,1465 1
[TGT] may feel the heat as the China shows signs of fatigue,negative,32100 164 473 8 1678 38 8 1473 1267 3957 13 13034 1,2841 1
[TGT] little changed against dollar in early trade,neutral,32100 385 2130 581 6816 16 778 1668 1,7163 1
[TGT] awaits legal view for ICICI-BoR merger,neutral,32100 19902 7 1281 903 21 3 18316 3597 18 279 32 448 18917 1,7163 1
[TGT] mixed in Asia trading,neutral,32100 4838 16 3826 3415 1,7163 1
SAT upholds penalty against [TGT],negative,3 17517 95 6134 7 10736 581 32100 1,2841 1
"[TGT] rally on petrol price hike, but end day in red",neutral,32100 13980 30 17602 594 8598 6 68 414 239 16 1131 1,7163 1
"Sebi orders to defreeze bank, demat accounts of [TGT]",positive,679 115 23 5022 12 20 2113 776 2137 6 20 3357 3744 13 32100 1,1465 1
"Dhanteras [TGT], silver sales to surge on lower prices",positive,309 2618 449 9 7 32100 3 6 4294 1085 12 18787 30 1364 1596 1,1465 1
"[TGT] raises Rs 3,000cr through bond markets to meet capex need",positive,32100 3033 7 11715 3 11212 75 52 190 6235 3212 12 942 2468 994 174 1,1465 1
"[TGT], HPCL, BPCL rally on last week's petrol & diesel price hike",positive,32100 3 6 5481 8440 6 3 11165 8440 13980 30 336 471 31 7 17602 3 184 12292 594 8598 1,1465 1
"CBI grills Jignesh Shah, founder of the [TGT] group, files FIR in NSEL scam",negative,205 5972 6903 7 446 6962 7 107 19669 6 7174 13 8 32100 563 6 2073 377 5705 16 445 23143 13236 1,2841 1
"[TGT] Q4 profit seen at Rs 5,397 cr QoQ",neutral,32100 1593 591 3199 894 44 11715 7836 519 4327 5764 1593 32 2247 1,7163 1
"[TGT] certainly will be the flavour of the season: Dipan Mehta, Member, BSE and NSE",positive,32100 1852 56 36 8 9499 13 8 774 10 23177 152 1212 107 17 9 6 8541 6 272 4132 11 445 4132 1,1465 1
